territorio,nome,gap_studio_F_M,gap_lavoro_F_M,ribaltamento,pendolari,km_capoluogo
084029,Racalmuto,0.9585955500533032,4.699683279126248,-3.7410877290729445,1710.0,17.61443399601588
084030,Raffadali,1.8663955196178108,-8.702058428858344,10.568453948476154,2997.0,10.765298927572797
084031,Ravanusa,-5.331989108005994,-1.3855229909071056,-3.946466117098888,2183.0,36.587198977237925
084032,Realmonte,-0.048112904950279756,-0.24687358258277214,0.1987606776324924,863.0,11.786422060998833
084033,Ribera,0.030673157239324844,-0.7056584079697998,0.7363315652091247,4184.0,30.06777630620529
084034,Sambuca di Sicilia,6.845834526195247,10.540064510652744,-3.694229984457497,1439.0,54.23984079991386
084035,San Biagio Platani,2.0013684570646575,-3.7015406863563065,5.702909143420964,695.0,22.589484146389886
084036,San Giovanni Gemini,-5.002583979328172,-5.675892065003353,0.6733080856751812,1915.0,33.87148082089119
084037,Santa Elisabetta,-1.4130434782608674,-4.568407295193964,3.1553638169330966,548.0,14.352762974424122
084038,Santa Margherita di Belice,0.6421482778750729,-4.189053820234953,4.831202098110026,1308.0,63.658366692839365
084039,Sant'Angelo Muxaro,9.316239316239319,-9.942907334211682,19.259146650451,313.0,17.7670527100023
084040,Santo Stefano Quisquina,-2.8429620806035345,4.493464052287582,-7.336426132891116,1002.0,31.663109196666078
084041,Sciacca,0.9151955999245329,-1.0749437272885078,1.9901393272130408,9777.0,50.57358916470137
084042,Siculiana,4.001295510071888,-3.7536789676250883,7.754974477696976,946.0,17.279472358842444
084043,Villafranca Sicula,-2.5842537524780482,-10.510472845854764,7.926219093376716,320.0,38.465839520280845
085001,Acquaviva Platani,3.3990147783251246,-14.458360799824213,17.857375578149338,197.0,30.20359091234021
085002,Bompensiere,15.326340326340322,12.246376811594203,3.079963514746119,122.0,19.760367633219783
085003,Butera,0.9661835748792242,0.3968698640370505,0.5693137108421737,1027.0,31.40195645178816
085004,Caltanissetta,1.5468919496837783,-1.8316982346361783,3.3785901843199566,16220.0,0.0
085005,Campofranco,17.642094812608587,-5.400155400155398,23.042250212763985,663.0,28.08125246494536
085006,Delia,-6.357045428584868,-0.44696910134445034,-5.910076327240418,1039.0,15.503048280902695
085007,Gela,0.8022549642281631,-1.8992390929615972,2.7014940571897603,14823.0,47.86669745240422
085008,Marianopoli,2.779156327543422,-22.39965472593871,25.178811053482132,464.0,17.961947555874893
085009,Mazzarino,-3.961824816804125,-2.7509688379253596,-1.2108559788787652,2774.0,34.80665973632058
085010,Milena,7.361808067841444,-2.7038869257950537,10.065694993636498,783.0,23.97300450506778
085011,Montedoro,5.081585081585082,6.477821695212995,-1.396236613627913,329.0,16.971849692947433
085012,Mussomeli,-0.8706823858845243,-4.1626622898430625,3.2919799039585382,2811.0,19.573151866779146
085013,Niscemi,-2.2496561861240787,-22.188022052103623,19.938365865979545,5398.0,50.05848062017065
085014,Resuttano,-1.8040648549897256,-5.790451218179832,3.986386363190107,501.0,19.334096953310233
