territorio,nome,treno,oltre_30_min,quota_fuori,km_capoluogo,pendolari,pendolari_fuori
084031,Ravanusa,0.1968503937007874,34.645669291338585,32.93632615666514,36.587198977237925,2183.0,1016.0
084032,Realmonte,0.0,21.866666666666667,53.53418308227115,11.786422060998833,863.0,750.0
084033,Ribera,0.0,45.84450402144772,22.848948374760994,30.06777630620529,4184.0,1119.0
084034,Sambuca di Sicilia,0.16366612111292964,51.88216039279869,23.905489923558026,54.23984079991386,1439.0,611.0
084035,San Biagio Platani,0.5602240896358543,58.54341736694678,31.942446043165468,22.589484146389886,695.0,357.0
084036,San Giovanni Gemini,1.1569052783803326,29.790310918293564,46.945169712793735,33.87148082089119,1915.0,1383.0
084037,Santa Elisabetta,1.6632016632016633,30.76923076923077,58.394160583941606,14.352762974424122,548.0,481.0
084038,Santa Margherita di Belice,0.0,36.98193411264612,42.96636085626911,63.658366692839365,1308.0,941.0
084039,Sant'Angelo Muxaro,0.4716981132075472,60.84905660377358,42.81150159744409,17.7670527100023,313.0,212.0
084040,Santo Stefano Quisquina,0.0,28.79377431906615,30.538922155688624,31.663109196666078,1002.0,514.0
084041,Sciacca,0.0,60.452449346642,10.095121202822952,50.57358916470137,9777.0,1173.17
084042,Siculiana,0.36363636363636365,40.54545454545455,33.9323467230444,17.279472358842444,946.0,550.0
084043,Villafranca Sicula,0.0,39.40886699507389,39.375,38.465839520280845,320.0,203.0
085001,Acquaviva Platani,1.408450704225352,23.943661971830984,44.16243654822335,30.20359091234021,197.0,142.0
085002,Bompensiere,0.0,28.0,54.09836065573771,19.760367633219783,122.0,125.0
085003,Butera,0.0,29.635761589403973,34.079844206426486,31.40195645178816,1027.0,604.0
085004,Caltanissetta,0.5400056545094714,52.00405239845445,10.147965474722564,0.0,16220.0,2122.2
085005,Campofranco,2.027027027027027,41.891891891891895,44.947209653092,28.08125246494536,663.0,444.0
085006,Delia,0.0,26.226993865030675,41.289701636188646,15.503048280902695,1039.0,652.0
085007,Gela,3.039776669469182,77.68816984874582,6.381973959387438,47.86669745240422,14823.0,1225.09
085008,Marianopoli,0.8130081300813008,43.360433604336045,58.83620689655172,17.961947555874893,464.0,369.0
085009,Mazzarino,0.0,70.56962025316456,24.405191059841385,34.80665973632058,2774.0,948.0
085010,Milena,0.9615384615384616,69.61538461538461,43.42273307790549,23.97300450506778,783.0,520.0
085011,Montedoro,0.0,56.54205607476636,38.90577507598784,16.971849692947433,329.0,214.0
085012,Mussomeli,2.2796352583586628,73.7082066869301,21.095695482034863,19.573151866779146,2811.0,658.0
085013,Niscemi,0.4731678708642695,25.64242711978009,38.34753612449055,50.05848062017065,5398.0,2506.51
085014,Resuttano,0.0,59.87261146496815,39.72055888223553,19.334096953310233,501.0,314.0
085015,Riesi,0.1757469244288225,49.209138840070295,35.84823375490624,19.692850707807644,2293.0,1138.0
085016,San Cataldo,0.08972217884620984,18.488326853398195,43.16436251920123,9.16111892729267,5859.0,3778.33
085017,Santa Caterina Villarmosa,0.13089005235602094,32.068062827225134,40.0676246830093,16.464342956826428,1183.0,764.0
085018,Serradifalco,0.08920606601248884,36.30686886708296,47.69736842105263,12.6630131090511,1520.0,1121.0
