territorio,anno,genere,eta,stato_civile,cittadinanza,valore
082006,2022,T,Y_GE100,ALL,TOTAL,13
082006,2023,T,Y_GE100,ALL,TOTAL,16
082006,2024,T,Y_GE100,ALL,TOTAL,13
082006,2001,T,Y_UN4,ALL,TOTAL,2980
082006,2011,T,Y_UN4,ALL,TOTAL,2863
082006,2018,T,Y_UN4,ALL,TOTAL,2538
082006,2019,T,Y_UN4,ALL,TOTAL,2488
082006,2020,T,Y_UN4,ALL,TOTAL,2514
082006,2021,T,Y_UN4,ALL,TOTAL,2417
082006,2022,T,Y_UN4,ALL,TOTAL,2408
082006,2023,T,Y_UN4,ALL,TOTAL,2352
082006,2024,T,Y_UN4,ALL,TOTAL,2284
082006,2001,T,Y10-14,ALL,TOTAL,3681
082006,2011,T,Y10-14,ALL,TOTAL,3087
082006,2018,T,Y10-14,ALL,TOTAL,2869
082006,2019,T,Y10-14,ALL,TOTAL,2821
082006,2020,T,Y10-14,ALL,TOTAL,2851
082006,2021,T,Y10-14,ALL,TOTAL,2872
082006,2022,T,Y10-14,ALL,TOTAL,2839
082006,2023,T,Y10-14,ALL,TOTAL,2751
082006,2024,T,Y10-14,ALL,TOTAL,2724
082006,2001,T,Y15-19,ALL,TOTAL,3622
082006,2011,T,Y15-19,ALL,TOTAL,3476
082006,2018,T,Y15-19,ALL,TOTAL,3040
082006,2019,T,Y15-19,ALL,TOTAL,3059
082006,2020,T,Y15-19,ALL,TOTAL,3016
082006,2021,T,Y15-19,ALL,TOTAL,2983
082006,2022,T,Y15-19,ALL,TOTAL,2968
082006,2023,T,Y15-19,ALL,TOTAL,2930
082006,2024,T,Y15-19,ALL,TOTAL,2873
082006,2001,T,Y20-24,ALL,TOTAL,3674
082006,2011,T,Y20-24,ALL,TOTAL,3714
082006,2018,T,Y20-24,ALL,TOTAL,3203
082006,2019,T,Y20-24,ALL,TOTAL,3075
082006,2020,T,Y20-24,ALL,TOTAL,2939
082006,2021,T,Y20-24,ALL,TOTAL,2908
082006,2022,T,Y20-24,ALL,TOTAL,2914
082006,2023,T,Y20-24,ALL,TOTAL,2949
082006,2024,T,Y20-24,ALL,TOTAL,3031
082006,2001,T,Y25-29,ALL,TOTAL,3884
082006,2011,T,Y25-29,ALL,TOTAL,3645
082006,2018,T,Y25-29,ALL,TOTAL,3483
082006,2019,T,Y25-29,ALL,TOTAL,3296
082006,2020,T,Y25-29,ALL,TOTAL,3045
082006,2021,T,Y25-29,ALL,TOTAL,2998
082006,2022,T,Y25-29,ALL,TOTAL,2954
082006,2023,T,Y25-29,ALL,TOTAL,2912
082006,2024,T,Y25-29,ALL,TOTAL,2845
082006,2001,T,Y30-34,ALL,TOTAL,4039
082006,2011,T,Y30-34,ALL,TOTAL,3740
082006,2018,T,Y30-34,ALL,TOTAL,3379
082006,2019,T,Y30-34,ALL,TOTAL,3409
082006,2020,T,Y30-34,ALL,TOTAL,3319
082006,2021,T,Y30-34,ALL,TOTAL,3285
082006,2022,T,Y30-34,ALL,TOTAL,3282
082006,2023,T,Y30-34,ALL,TOTAL,3196
082006,2024,T,Y30-34,ALL,TOTAL,3112
082006,2001,T,Y35-39,ALL,TOTAL,3999
082006,2011,T,Y35-39,ALL,TOTAL,4007
