origine,genere,motivo,luogo,verso_palermo,mezzo,orario,durata,stima
081001,M,lavoro,dentro,False,"motocicletta, ciclomotore, scooter",prima delle 7:15,oltre 60 min,2.82
081001,M,lavoro,fuori,False,altro mezzo,prima delle 7:15,16-30 min,3.63
081001,M,lavoro,fuori,False,auto privata (conducente),7:15-8:14,16-30 min,170.9
081001,M,lavoro,fuori,False,auto privata (conducente),7:15-8:14,31-60 min,86.25
081001,M,lavoro,fuori,False,auto privata (conducente),7:15-8:14,fino a 15 min,88.72999999999999
081001,M,lavoro,fuori,False,auto privata (conducente),7:15-8:14,oltre 60 min,1.0
081001,M,lavoro,fuori,False,auto privata (conducente),8:15-9:14,16-30 min,46.17
081001,M,lavoro,fuori,False,auto privata (conducente),8:15-9:14,31-60 min,15.969999999999999
081001,M,lavoro,fuori,False,auto privata (conducente),8:15-9:14,fino a 15 min,25.02
081001,M,lavoro,fuori,False,auto privata (conducente),dopo le 9:14,16-30 min,25.65
081001,M,lavoro,fuori,False,auto privata (conducente),dopo le 9:14,31-60 min,12.209999999999999
081001,M,lavoro,fuori,False,auto privata (conducente),dopo le 9:14,fino a 15 min,17.39
081001,M,lavoro,fuori,False,auto privata (conducente),prima delle 7:15,16-30 min,318.7
081001,M,lavoro,fuori,False,auto privata (conducente),prima delle 7:15,31-60 min,342.83
081001,M,lavoro,fuori,False,auto privata (conducente),prima delle 7:15,fino a 15 min,114.18
081001,M,lavoro,fuori,False,auto privata (conducente),prima delle 7:15,oltre 60 min,68.85
081001,M,lavoro,fuori,False,auto privata (passeggero),7:15-8:14,16-30 min,11.74
081001,M,lavoro,fuori,False,auto privata (passeggero),7:15-8:14,31-60 min,5.359999999999999
081001,M,lavoro,fuori,False,auto privata (passeggero),7:15-8:14,fino a 15 min,4.65
081001,M,lavoro,fuori,False,auto privata (passeggero),8:15-9:14,31-60 min,1.87
081001,M,lavoro,fuori,False,auto privata (passeggero),8:15-9:14,fino a 15 min,2.74
081001,M,lavoro,fuori,False,auto privata (passeggero),dopo le 9:14,16-30 min,2.27
