territorio,anno,genere,eta,cittadinanza,titolo_studio,condizione,valore
081003,2018,F,Y_GE15,TOTAL,ALL,22,912.0
081003,2019,F,Y_GE15,TOTAL,ALL,22,965.0
081003,2021,F,Y_GE15,TOTAL,ALL,22,842.842667576149
081003,2022,F,Y_GE15,TOTAL,ALL,22,882.842237456712
081003,2023,F,Y_GE15,TOTAL,ALL,22,916.9840210919562
081003,2024,F,Y_GE15,TOTAL,ALL,22,907.4415807315838
081003,2018,F,Y_GE15,TOTAL,ALL,23,2028.0
081003,2019,F,Y_GE15,TOTAL,ALL,23,1947.0
081003,2021,F,Y_GE15,TOTAL,ALL,23,2002.15733242385
081003,2022,F,Y_GE15,TOTAL,ALL,23,1895.15776254329
081003,2023,F,Y_GE15,TOTAL,ALL,23,1819.015978908044
081003,2024,F,Y_GE15,TOTAL,ALL,23,1814.558419268416
081003,2018,F,Y_GE15,TOTAL,ALL,24,626.0
081003,2019,F,Y_GE15,TOTAL,ALL,24,653.0
081003,2021,F,Y_GE15,TOTAL,ALL,24,613.560775548907
081003,2022,F,Y_GE15,TOTAL,ALL,24,557.471671667091
081003,2023,F,Y_GE15,TOTAL,ALL,24,541.8577173545564
081003,2024,F,Y_GE15,TOTAL,ALL,24,544.5908582703502
081003,2018,F,Y_GE15,TOTAL,ALL,4,932.0
081003,2019,F,Y_GE15,TOTAL,ALL,4,849.0
081003,2021,F,Y_GE15,TOTAL,ALL,4,963.803643473031
081003,2022,F,Y_GE15,TOTAL,ALL,4,905.039396420424
081003,2023,F,Y_GE15,TOTAL,ALL,4,860.1929880380386
081003,2024,F,Y_GE15,TOTAL,ALL,4,865.4517446951897
081003,2018,F,Y_GE15,TOTAL,ALL,5,236.0
081003,2019,F,Y_GE15,TOTAL,ALL,5,253.0
081003,2021,F,Y_GE15,TOTAL,ALL,5,231.695454869369
081003,2022,F,Y_GE15,TOTAL,ALL,5,219.570578682452
081003,2023,F,Y_GE15,TOTAL,ALL,5,205.4139475105463
081003,2024,F,Y_GE15,TOTAL,ALL,5,202.19745031830604
081003,2018,F,Y_GE15,TOTAL,ALL,7,234.0
081003,2019,F,Y_GE15,TOTAL,ALL,7,192.0
081003,2021,F,Y_GE15,TOTAL,ALL,7,193.097458532544
081003,2022,F,Y_GE15,TOTAL,ALL,7,213.076115773321
081003,2023,F,Y_GE15,TOTAL,ALL,7,211.55132600490268
081003,2024,F,Y_GE15,TOTAL,ALL,7,202.3183659845701
081003,2018,F,Y_GE15,TOTAL,ALL,99,2940.0
081003,2019,F,Y_GE15,TOTAL,ALL,99,2912.0
081003,2021,F,Y_GE15,TOTAL,ALL,99,2845.0
081003,2022,F,Y_GE15,TOTAL,ALL,99,2778.0
081003,2023,F,Y_GE15,TOTAL,ALL,99,2736.0
081003,2024,F,Y_GE15,TOTAL,ALL,99,2722.0
081003,2018,M,Y_GE15,TOTAL,ALL,1,1198.0
081003,2019,M,Y_GE15,TOTAL,ALL,1,1231.0
081003,2021,M,Y_GE15,TOTAL,ALL,1,1214.0
081003,2022,M,Y_GE15,TOTAL,ALL,1,1228.0
081003,2023,M,Y_GE15,TOTAL,ALL,1,1236.0
081003,2024,M,Y_GE15,TOTAL,ALL,1,1278.0
081003,2018,M,Y_GE15,TOTAL,ALL,12,334.0
081003,2019,M,Y_GE15,TOTAL,ALL,12,306.0
081003,2021,M,Y_GE15,TOTAL,ALL,12,185.098801572218
081003,2022,M,Y_GE15,TOTAL,ALL,12,173.592990764959
081003,2023,M,Y_GE15,TOTAL,ALL,12,172.83507662699628
081003,2024,M,Y_GE15,TOTAL,ALL,12,119.63754912589978
081003,2018,M,Y_GE15,TOTAL,ALL,22,1532.0
081003,2019,M,Y_GE15,TOTAL,ALL,22,1537.0
081003,2021,M,Y_GE15,TOTAL,ALL,22,1399.09880157222
081003,2022,M,Y_GE15,TOTAL,ALL,22,1401.59299076496
081003,2023,M,Y_GE15,TOTAL,ALL,22,1408.8350766269964
081003,2024,M,Y_GE15,TOTAL,ALL,22,1397.6375491258998
081003,2018,M,Y_GE15,TOTAL,ALL,23,1264.0
081003,2019,M,Y_GE15,TOTAL,ALL,23,1203.0
081003,2021,M,Y_GE15,TOTAL,ALL,23,1304.90119842778
081003,2022,M,Y_GE15,TOTAL,ALL,23,1270.40700923504
081003,2023,M,Y_GE15,TOTAL,ALL,23,1237.1649233730038
081003,2024,M,Y_GE15,TOTAL,ALL,23,1242.3624508741002
081003,2018,M,Y_GE15,TOTAL,ALL,24,735.0
081003,2019,M,Y_GE15,TOTAL,ALL,24,753.0
081003,2021,M,Y_GE15,TOTAL,ALL,24,788.52471777662
081003,2022,M,Y_GE15,TOTAL,ALL,24,773.390971124504
081003,2023,M,Y_GE15,TOTAL,ALL,24,762.212712257554
081003,2024,M,Y_GE15,TOTAL,ALL,24,774.7256631023321
081003,2018,M,Y_GE15,TOTAL,ALL,4,30.0
081003,2019,M,Y_GE15,TOTAL,ALL,4,27.0
081003,2021,M,Y_GE15,TOTAL,ALL,4,57.1985703098505
081003,2022,M,Y_GE15,TOTAL,ALL,4,49.5663353690368
081003,2023,M,Y_GE15,TOTAL,ALL,4,46.58534626490542
081003,2024,M,Y_GE15,TOTAL,ALL,4,44.11807919583006
