territorio,anno,genere,eta,eta_anni,stato_civile,cittadinanza,valore
082023,2021,F,Y38,38.0,ALL,TOTAL,61
082023,2022,F,Y38,38.0,ALL,TOTAL,81
082023,2023,F,Y38,38.0,ALL,TOTAL,84
082023,2024,F,Y38,38.0,ALL,TOTAL,70
082023,2021,F,Y39,39.0,ALL,FRGAPO,2
082023,2023,F,Y39,39.0,ALL,FRGAPO,3
082023,2024,F,Y39,39.0,ALL,FRGAPO,4
082023,2021,F,Y39,39.0,ALL,ITL,92
082023,2022,F,Y39,39.0,ALL,ITL,56
082023,2023,F,Y39,39.0,ALL,ITL,82
082023,2024,F,Y39,39.0,ALL,ITL,77
082023,2021,F,Y39,39.0,ALL,TOTAL,94
082023,2022,F,Y39,39.0,ALL,TOTAL,56
082023,2023,F,Y39,39.0,ALL,TOTAL,85
082023,2024,F,Y39,39.0,ALL,TOTAL,81
082023,2024,F,Y4,4.0,ALL,FRGAPO,1
082023,2021,F,Y4,4.0,ALL,ITL,52
082023,2022,F,Y4,4.0,ALL,ITL,64
082023,2023,F,Y4,4.0,ALL,ITL,65
082023,2024,F,Y4,4.0,ALL,ITL,50
082023,2021,F,Y4,4.0,ALL,TOTAL,52
082023,2022,F,Y4,4.0,ALL,TOTAL,64
082023,2023,F,Y4,4.0,ALL,TOTAL,65
082023,2024,F,Y4,4.0,ALL,TOTAL,51
082023,2021,F,Y40,40.0,ALL,FRGAPO,1
082023,2022,F,Y40,40.0,ALL,FRGAPO,2
082023,2024,F,Y40,40.0,ALL,FRGAPO,2
082023,2021,F,Y40,40.0,ALL,ITL,91
082023,2022,F,Y40,40.0,ALL,ITL,93
082023,2023,F,Y40,40.0,ALL,ITL,61
082023,2024,F,Y40,40.0,ALL,ITL,81
082023,2021,F,Y40,40.0,ALL,TOTAL,92
082023,2022,F,Y40,40.0,ALL,TOTAL,95
082023,2023,F,Y40,40.0,ALL,TOTAL,61
082023,2024,F,Y40,40.0,ALL,TOTAL,83
