territorio,anno,eta,genere,popolazione,almeno_diploma_%,solo_diploma_%,terziario_%,nome_territorio,ruolo
ITG1,2019,Y_GE65,T,1056210.0,25.4739,17.2677,8.2062,Sicilia,confronto
ITG1,2020,Y25-49,F,766619.0,66.7467,42.1445,24.6022,Sicilia,confronto
ITG1,2020,Y25-49,M,758611.0,61.1381,44.1985,16.9395,Sicilia,confronto
ITG1,2020,Y25-49,T,1525230.0,63.9571,43.1661,20.791,Sicilia,confronto
ITG1,2020,Y50-64,F,546169.0,46.0021,32.8169,13.1851,Sicilia,confronto
ITG1,2020,Y50-64,M,506239.0,45.775,33.0555,12.7195,Sicilia,confronto
ITG1,2020,Y50-64,T,1052408.0,45.8928,32.9317,12.9611,Sicilia,confronto
ITG1,2020,Y9-24,F,387313.0,31.5383,28.2676,3.2707,Sicilia,confronto
ITG1,2020,Y9-24,M,415369.0,28.531,26.0409,2.4901,Sicilia,confronto
ITG1,2020,Y9-24,T,802682.0,29.9821,27.1153,2.8668,Sicilia,confronto
ITG1,2020,Y_GE65,F,604940.0,23.7073,16.2152,7.4921,Sicilia,confronto
ITG1,2020,Y_GE65,M,474507.0,31.0539,20.8393,10.2146,Sicilia,confronto
ITG1,2020,Y_GE65,T,1079447.0,26.9368,18.2479,8.6889,Sicilia,confronto
ITG1,2021,Y25-49,F,754026.0,67.6672,41.913,25.7542,Sicilia,confronto
ITG1,2021,Y25-49,M,755724.0,61.9698,44.281,17.6889,Sicilia,confronto
ITG1,2021,Y25-49,T,1509750.0,64.8153,43.0983,21.717,Sicilia,confronto
ITG1,2021,Y50-64,F,553456.0,46.966,33.3363,13.6296,Sicilia,confronto
ITG1,2021,Y50-64,M,516848.0,45.975,33.3286,12.6465,Sicilia,confronto
ITG1,2021,Y50-64,T,1070304.0,46.4874,33.3326,13.1549,Sicilia,confronto
ITG1,2021,Y9-24,F,384393.0,32.4756,28.6345,3.8411,Sicilia,confronto
ITG1,2021,Y9-24,M,412216.0,29.8179,27.0278,2.79,Sicilia,confronto
ITG1,2021,Y9-24,T,796609.0,31.1003,27.8031,3.2972,Sicilia,confronto
ITG1,2021,Y_GE65,F,609337.0,25.0213,17.167,7.8543,Sicilia,confronto
ITG1,2021,Y_GE65,M,480632.0,32.2983,21.731,10.5673,Sicilia,confronto
ITG1,2021,Y_GE65,T,1089969.0,28.2302,19.1795,9.0506,Sicilia,confronto
ITG1,2022,Y25-49,F,740631.0,69.1009,42.4372,26.6638,Sicilia,confronto
ITG1,2022,Y25-49,M,744340.0,63.0114,44.6056,18.4058,Sicilia,confronto
ITG1,2022,Y25-49,T,1484971.0,66.0486,43.5241,22.5245,Sicilia,confronto
ITG1,2022,Y50-64,F,556996.0,48.3964,34.4484,13.948,Sicilia,confronto
ITG1,2022,Y50-64,M,520304.0,47.1859,34.2344,12.9515,Sicilia,confronto
ITG1,2022,Y50-64,T,1077300.0,47.8118,34.345,13.4667,Sicilia,confronto
ITG1,2022,Y9-24,F,381533.0,33.0745,29.0638,4.0107,Sicilia,confronto
ITG1,2022,Y9-24,M,408761.0,30.2805,27.4172,2.8633,Sicilia,confronto
ITG1,2022,Y9-24,T,790294.0,31.6294,28.2122,3.4172,Sicilia,confronto
ITG1,2022,Y_GE65,F,614036.0,26.6017,18.2525,8.3492,Sicilia,confronto
ITG1,2022,Y_GE65,M,486234.0,34.0883,23.1082,10.9801,Sicilia,confronto
ITG1,2022,Y_GE65,T,1100270.0,29.9102,20.3984,9.5118,Sicilia,confronto
ITG1,2023,Y25-49,F,726772.0,68.9537,42.0869,26.8667,Sicilia,confronto
ITG1,2023,Y25-49,M,733637.0,62.6116,44.4338,18.1778,Sicilia,confronto
ITG1,2023,Y25-49,T,1460409.0,65.7677,43.2659,22.5018,Sicilia,confronto
ITG1,2023,Y50-64,F,560218.0,48.5579,34.0459,14.512,Sicilia,confronto
ITG1,2023,Y50-64,M,523898.0,46.7146,33.6749,13.0398,Sicilia,confronto
ITG1,2023,Y50-64,T,1084116.0,47.6671,33.8666,13.8006,Sicilia,confronto
ITG1,2023,Y9-24,F,378270.0,32.4956,28.7387,3.7568,Sicilia,confronto
ITG1,2023,Y9-24,M,406007.0,29.7554,27.1111,2.6443,Sicilia,confronto
ITG1,2023,Y9-24,T,784277.0,31.077,27.8961,3.1809,Sicilia,confronto
ITG1,2023,Y_GE65,F,620678.0,27.4353,18.6072,8.8281,Sicilia,confronto
ITG1,2023,Y_GE65,M,493917.0,34.4773,23.0148,11.4625,Sicilia,confronto
ITG1,2023,Y_GE65,T,1114595.0,30.5559,20.5604,9.9955,Sicilia,confronto
ITG1,2024,Y25-49,F,714135.0,69.8063,41.9681,27.8382,Sicilia,confronto
ITG1,2024,Y25-49,M,724119.0,63.2512,44.4166,18.8346,Sicilia,confronto
ITG1,2024,Y25-49,T,1438254.0,66.506,43.2009,23.3051,Sicilia,confronto
ITG1,2024,Y50-64,F,563944.0,49.4663,34.4905,14.9758,Sicilia,confronto
ITG1,2024,Y50-64,M,526910.0,47.3884,34.195,13.1933,Sicilia,confronto
ITG1,2024,Y50-64,T,1090854.0,48.4626,34.3478,14.1148,Sicilia,confronto
ITG1,2024,Y9-24,F,374652.0,33.0605,29.0678,3.9928,Sicilia,confronto
ITG1,2024,Y9-24,M,403742.0,30.4058,27.6189,2.7869,Sicilia,confronto
ITG1,2024,Y9-24,T,778394.0,31.6836,28.3163,3.3673,Sicilia,confronto
ITG1,2024,Y_GE65,F,630325.0,28.7188,19.5277,9.1911,Sicilia,confronto
ITG1,2024,Y_GE65,M,503521.0,35.6446,23.885,11.7596,Sicilia,confronto
ITG1,2024,Y_GE65,T,1133846.0,31.7944,21.4627,10.3317,Sicilia,confronto
082023,2018,Y25-49,F,2026.0,61.0563,42.3001,18.7562,Casteldaccia,vicino
082023,2018,Y25-49,M,1971.0,56.7225,43.2775,13.445,Casteldaccia,vicino
082023,2018,Y25-49,T,3997.0,58.9192,42.7821,16.1371,Casteldaccia,vicino
082023,2018,Y50-64,F,1081.0,36.6327,27.7521,8.8807,Casteldaccia,vicino
082023,2018,Y50-64,M,1060.0,40.4717,29.9057,10.566,Casteldaccia,vicino
082023,2018,Y50-64,T,2141.0,38.5334,28.8183,9.7151,Casteldaccia,vicino
082023,2018,Y9-24,F,962.0,30.7692,28.2744,2.4948,Casteldaccia,vicino
082023,2018,Y9-24,M,1024.0,25.0,24.1211,0.8789,Casteldaccia,vicino
