territorio,anno,genere,eta,cittadinanza,titolo_studio,condizione,valore
081003,2023,F,Y15-24,TOTAL,ALL,24,0.151335312028457
081003,2024,F,Y15-24,TOTAL,ALL,24,0.287230363167618
081003,2018,F,Y15-24,TOTAL,ALL,4,25.0
081003,2019,F,Y15-24,TOTAL,ALL,4,19.0
081003,2021,F,Y15-24,TOTAL,ALL,4,35.0242393741018
081003,2022,F,Y15-24,TOTAL,ALL,4,23.4707351654101
081003,2023,F,Y15-24,TOTAL,ALL,4,20.6609060616071
081003,2024,F,Y15-24,TOTAL,ALL,4,21.056177275193928
081003,2018,F,Y15-24,TOTAL,ALL,5,199.0
081003,2019,F,Y15-24,TOTAL,ALL,5,209.0
081003,2021,F,Y15-24,TOTAL,ALL,5,188.877761759735
081003,2022,F,Y15-24,TOTAL,ALL,5,179.015258746053
081003,2023,F,Y15-24,TOTAL,ALL,5,173.70500344827687
081003,2024,F,Y15-24,TOTAL,ALL,5,170.94648925324822
081003,2018,F,Y15-24,TOTAL,ALL,7,19.0
081003,2019,F,Y15-24,TOTAL,ALL,7,11.0
081003,2021,F,Y15-24,TOTAL,ALL,7,14.4118333458403
081003,2022,F,Y15-24,TOTAL,ALL,7,12.819240460825
081003,2023,F,Y15-24,TOTAL,ALL,7,9.805115263040127
081003,2024,F,Y15-24,TOTAL,ALL,7,11.381004434769002
081003,2018,F,Y15-24,TOTAL,ALL,99,318.0
081003,2019,F,Y15-24,TOTAL,ALL,99,309.0
081003,2021,F,Y15-24,TOTAL,ALL,99,297.0
081003,2022,F,Y15-24,TOTAL,ALL,99,272.0
081003,2023,F,Y15-24,TOTAL,ALL,99,265.0
081003,2024,F,Y15-24,TOTAL,ALL,99,264.0
081003,2018,M,Y15-24,TOTAL,ALL,1,88.0
081003,2019,M,Y15-24,TOTAL,ALL,1,82.0
081003,2021,M,Y15-24,TOTAL,ALL,1,72.0
081003,2022,M,Y15-24,TOTAL,ALL,1,59.0
081003,2023,M,Y15-24,TOTAL,ALL,1,62.0
081003,2024,M,Y15-24,TOTAL,ALL,1,58.0
081003,2018,M,Y15-24,TOTAL,ALL,12,56.0
081003,2019,M,Y15-24,TOTAL,ALL,12,52.0
081003,2021,M,Y15-24,TOTAL,ALL,12,29.0432393202279
081003,2022,M,Y15-24,TOTAL,ALL,12,28.6569482177352
081003,2023,M,Y15-24,TOTAL,ALL,12,25.62886215763181
081003,2024,M,Y15-24,TOTAL,ALL,12,17.407302047088415
081003,2018,M,Y15-24,TOTAL,ALL,22,144.0
081003,2019,M,Y15-24,TOTAL,ALL,22,134.0
081003,2021,M,Y15-24,TOTAL,ALL,22,101.043239320228
081003,2022,M,Y15-24,TOTAL,ALL,22,87.6569482177352
081003,2023,M,Y15-24,TOTAL,ALL,22,87.62886215763181
081003,2024,M,Y15-24,TOTAL,ALL,22,75.40730204708842
081003,2018,M,Y15-24,TOTAL,ALL,23,244.0
081003,2019,M,Y15-24,TOTAL,ALL,23,207.0
081003,2021,M,Y15-24,TOTAL,ALL,23,200.956760679772
081003,2022,M,Y15-24,TOTAL,ALL,23,200.343051782265
081003,2023,M,Y15-24,TOTAL,ALL,23,191.37113784236823
081003,2024,M,Y15-24,TOTAL,ALL,23,191.59269795291155
081003,2018,M,Y15-24,TOTAL,ALL,24,1.0
081003,2019,M,Y15-24,TOTAL,ALL,24,2.0
081003,2021,M,Y15-24,TOTAL,ALL,24,1.02825357328977
081003,2022,M,Y15-24,TOTAL,ALL,24,1.24922185433292
081003,2023,M,Y15-24,TOTAL,ALL,24,0.971678081019446
081003,2024,M,Y15-24,TOTAL,ALL,24,1.340813519737593
081003,2018,M,Y15-24,TOTAL,ALL,4,2.0
081003,2019,M,Y15-24,TOTAL,ALL,4,1.0
081003,2021,M,Y15-24,TOTAL,ALL,4,2.93775993991954
081003,2022,M,Y15-24,TOTAL,ALL,4,2.40107603880637
081003,2023,M,Y15-24,TOTAL,ALL,4,2.350593248396592
081003,2024,M,Y15-24,TOTAL,ALL,4,2.487975258350411
081003,2018,M,Y15-24,TOTAL,ALL,5,187.0
081003,2019,M,Y15-24,TOTAL,ALL,5,171.0
081003,2021,M,Y15-24,TOTAL,ALL,5,164.247947143923
081003,2022,M,Y15-24,TOTAL,ALL,5,165.12607675499
081003,2023,M,Y15-24,TOTAL,ALL,5,163.06766895753648
081003,2024,M,Y15-24,TOTAL,ALL,5,161.81705456732337
081003,2018,M,Y15-24,TOTAL,ALL,7,54.0
081003,2019,M,Y15-24,TOTAL,ALL,7,33.0
081003,2021,M,Y15-24,TOTAL,ALL,7,32.7428000226397
081003,2022,M,Y15-24,TOTAL,ALL,7,31.5666771341356
081003,2023,M,Y15-24,TOTAL,ALL,7,24.98119755541569
081003,2024,M,Y15-24,TOTAL,ALL,7,25.94685460750017
081003,2018,M,Y15-24,TOTAL,ALL,99,388.0
081003,2019,M,Y15-24,TOTAL,ALL,99,341.0
081003,2021,M,Y15-24,TOTAL,ALL,99,302.0
