territorio,nome_territorio,anno,genere,stato,quota,persone,destinazione
ITG1,Sicilia,2019,T,altra condizione,8.2,43431.0,fuori e non in cerca
ITG1,Sicilia,2021,F,altra condizione,5.5,13598.6,fuori e non in cerca
ITG1,Sicilia,2021,M,altra condizione,13.7,36596.8,fuori e non in cerca
ITG1,Sicilia,2021,T,altra condizione,9.8,50195.4,fuori e non in cerca
ITG1,Sicilia,2022,F,altra condizione,5.1,12634.1,fuori e non in cerca
ITG1,Sicilia,2022,M,altra condizione,11.7,31222.9,fuori e non in cerca
ITG1,Sicilia,2022,T,altra condizione,8.6,43857.0,fuori e non in cerca
ITG1,Sicilia,2023,F,altra condizione,4.5,11047.9,fuori e non in cerca
ITG1,Sicilia,2023,M,altra condizione,11.2,29692.5,fuori e non in cerca
ITG1,Sicilia,2023,T,altra condizione,8.0,40740.4,fuori e non in cerca
ITG1,Sicilia,2024,F,altra condizione,5.1,12307.8,fuori e non in cerca
ITG1,Sicilia,2024,M,altra condizione,12.7,33760.9,fuori e non in cerca
