territorio,anno,genere,eta,eta_anni,stato_civile,cittadinanza,valore
082053,2023,F,Y58,58.0,ALL,ITL,4977
082053,2024,F,Y58,58.0,ALL,ITL,4950
082053,2021,F,Y58,58.0,ALL,TOTAL,5080
082053,2022,F,Y58,58.0,ALL,TOTAL,5312
082053,2023,F,Y58,58.0,ALL,TOTAL,5127
082053,2024,F,Y58,58.0,ALL,TOTAL,5165
082053,2021,F,Y59,59.0,ALL,FRGAPO,177
082053,2022,F,Y59,59.0,ALL,FRGAPO,182
082053,2023,F,Y59,59.0,ALL,FRGAPO,179
082053,2024,F,Y59,59.0,ALL,FRGAPO,147
082053,2021,F,Y59,59.0,ALL,ITL,4950
082053,2022,F,Y59,59.0,ALL,ITL,4891
082053,2023,F,Y59,59.0,ALL,ITL,5127
082053,2024,F,Y59,59.0,ALL,ITL,4981
082053,2021,F,Y59,59.0,ALL,TOTAL,5127
082053,2022,F,Y59,59.0,ALL,TOTAL,5073
082053,2023,F,Y59,59.0,ALL,TOTAL,5306
082053,2024,F,Y59,59.0,ALL,TOTAL,5128
082053,2021,F,Y6,6.0,ALL,FRGAPO,161
082053,2022,F,Y6,6.0,ALL,FRGAPO,152
082053,2023,F,Y6,6.0,ALL,FRGAPO,152
082053,2024,F,Y6,6.0,ALL,FRGAPO,170
082053,2021,F,Y6,6.0,ALL,ITL,2764
082053,2022,F,Y6,6.0,ALL,ITL,2593
082053,2023,F,Y6,6.0,ALL,ITL,2654
082053,2024,F,Y6,6.0,ALL,ITL,2540
082053,2021,F,Y6,6.0,ALL,TOTAL,2925
082053,2022,F,Y6,6.0,ALL,TOTAL,2745
082053,2023,F,Y6,6.0,ALL,TOTAL,2806
082053,2024,F,Y6,6.0,ALL,TOTAL,2710
082053,2021,F,Y60,60.0,ALL,FRGAPO,153
082053,2022,F,Y60,60.0,ALL,FRGAPO,172
082053,2023,F,Y60,60.0,ALL,FRGAPO,166
082053,2024,F,Y60,60.0,ALL,FRGAPO,174
082053,2021,F,Y60,60.0,ALL,ITL,4727
082053,2022,F,Y60,60.0,ALL,ITL,4936
082053,2023,F,Y60,60.0,ALL,ITL,4896
082053,2024,F,Y60,60.0,ALL,ITL,5130
082053,2021,F,Y60,60.0,ALL,TOTAL,4880
082053,2022,F,Y60,60.0,ALL,TOTAL,5108
082053,2023,F,Y60,60.0,ALL,TOTAL,5062
082053,2024,F,Y60,60.0,ALL,TOTAL,5304
082053,2021,F,Y61,61.0,ALL,FRGAPO,143
082053,2022,F,Y61,61.0,ALL,FRGAPO,154
082053,2023,F,Y61,61.0,ALL,FRGAPO,169
082053,2024,F,Y61,61.0,ALL,FRGAPO,160
082053,2021,F,Y61,61.0,ALL,ITL,4584
082053,2022,F,Y61,61.0,ALL,ITL,4701
082053,2023,F,Y61,61.0,ALL,ITL,4919
082053,2024,F,Y61,61.0,ALL,ITL,4896
082053,2021,F,Y61,61.0,ALL,TOTAL,4727
082053,2022,F,Y61,61.0,ALL,TOTAL,4855
082053,2023,F,Y61,61.0,ALL,TOTAL,5088
082053,2024,F,Y61,61.0,ALL,TOTAL,5056
082053,2021,F,Y62,62.0,ALL,FRGAPO,141
082053,2022,F,Y62,62.0,ALL,FRGAPO,146
082053,2023,F,Y62,62.0,ALL,FRGAPO,143
082053,2024,F,Y62,62.0,ALL,FRGAPO,169
082053,2021,F,Y62,62.0,ALL,ITL,4553
082053,2022,F,Y62,62.0,ALL,ITL,4559
082053,2023,F,Y62,62.0,ALL,ITL,4678
082053,2024,F,Y62,62.0,ALL,ITL,4925
082053,2021,F,Y62,62.0,ALL,TOTAL,4694
082053,2022,F,Y62,62.0,ALL,TOTAL,4705
082053,2023,F,Y62,62.0,ALL,TOTAL,4821
082053,2024,F,Y62,62.0,ALL,TOTAL,5094
082053,2021,F,Y63,63.0,ALL,FRGAPO,111
082053,2022,F,Y63,63.0,ALL,FRGAPO,141
082053,2023,F,Y63,63.0,ALL,FRGAPO,141
082053,2024,F,Y63,63.0,ALL,FRGAPO,143
082053,2021,F,Y63,63.0,ALL,ITL,4343
082053,2022,F,Y63,63.0,ALL,ITL,4522
082053,2023,F,Y63,63.0,ALL,ITL,4558
082053,2024,F,Y63,63.0,ALL,ITL,4668
082053,2021,F,Y63,63.0,ALL,TOTAL,4454
082053,2022,F,Y63,63.0,ALL,TOTAL,4663
082053,2023,F,Y63,63.0,ALL,TOTAL,4699
082053,2024,F,Y63,63.0,ALL,TOTAL,4811
082053,2021,F,Y64,64.0,ALL,FRGAPO,86
082053,2022,F,Y64,64.0,ALL,FRGAPO,111
082053,2023,F,Y64,64.0,ALL,FRGAPO,131
082053,2024,F,Y64,64.0,ALL,FRGAPO,132
082053,2021,F,Y64,64.0,ALL,ITL,4475
082053,2022,F,Y64,64.0,ALL,ITL,4324
082053,2023,F,Y64,64.0,ALL,ITL,4499
082053,2024,F,Y64,64.0,ALL,ITL,4558
082053,2021,F,Y64,64.0,ALL,TOTAL,4561
082053,2022,F,Y64,64.0,ALL,TOTAL,4435
082053,2023,F,Y64,64.0,ALL,TOTAL,4630
082053,2024,F,Y64,64.0,ALL,TOTAL,4690
082053,2021,F,Y65,65.0,ALL,FRGAPO,63
082053,2022,F,Y65,65.0,ALL,FRGAPO,89
082053,2023,F,Y65,65.0,ALL,FRGAPO,104
