territorio,nome_comune,x,y,distanza_km,occ_2011,occ_2024,pct_2011,pct_2024,donne_15piu_2024,rango_2024,ruolo
081023,Vita,310711,4192268,62.0,25.1,31.6,61.5,74.9,809,98,
081024,Petrosino,280699,4175810,96.1,18.0,26.2,11.3,33.8,3305,258,
082001,Alia,388774,4180167,41.0,17.4,21.3,8.5,5.1,1467,370,
082002,Alimena,420619,4169988,69.5,20.8,22.2,30.5,8.5,899,357,
082003,Aliminusa,392395,4191557,34.1,18.6,18.4,16.9,0.5,468,388,
082004,Altavilla Milicia,375206,4208816,9.8,23.2,29.2,45.9,55.6,3799,173,
082005,Altofonte,352202,4210325,16.8,24.1,27.6,52.6,42.8,4311,223,
082006,Bagheria,368179,4215633,0.0,18.1,23.7,12.3,16.9,23665,324,Bagheria
082007,Balestrate,325771,4213332,42.5,19.2,24.2,21.5,19.7,2955,313,
082008,Baucina,370863,4199564,16.3,18.4,20.9,15.4,3.8,804,375,
082009,Belmonte Mezzagno,358526,4210952,10.7,19.2,21.1,21.5,4.4,4623,373,
082010,Bisacquino,337668,4183889,44.0,19.8,27.6,25.6,42.6,1833,224,
082011,Bolognetta,365755,4205022,10.9,18.2,23.6,13.3,16.7,1799,325,
082012,Bompietro,419262,4174844,65.4,25.8,30.6,64.6,68.5,558,123,
082013,Borgetto,338339,4212080,30.1,17.4,25.4,8.5,25.4,3076,291,
082014,Caccamo,384050,4193488,27.2,23.2,27.2,45.9,40.5,3451,232,
082015,Caltavuturo,405543,4182253,50.1,20.4,23.8,28.7,18.2,1560,319,
082016,Campofelice di Fitalia,368251,4186098,29.5,18.4,25.8,15.4,31.8,178,266,
082017,Campofelice di Roccella,402071,4205269,35.4,26.4,32.7,67.7,80.3,3534,77,
082018,Campofiorito,347111,4180039,41.4,22.4,19.9,41.0,2.3,518,381,
082019,Camporeale,332365,4195476,41.1,23.6,28.5,49.0,51.0,1271,191,
082020,Capaci,345518,4225907,24.9,22.2,28.2,39.5,48.2,4951,202,
082021,Carini,340503,4222036,28.4,21.7,26.6,37.7,37.4,17186,244,
082022,Castelbuono,420852,4198609,55.4,24.6,31.7,57.2,75.9,3646,94,
082023,Casteldaccia,370164,4208015,7.9,20.1,26.5,27.4,37.2,5106,245,vicino
082024,Castellana Sicula,414924,4177020,60.6,27.6,29.8,75.9,61.5,1404,150,
082025,Castronovo di Sicilia,378223,4173825,43.0,20.2,26.0,28.2,32.8,1297,262,
082026,Cefalà Diana,364856,4197477,18.5,22.3,27.1,40.3,39.2,414,237,
082027,Cefalù,415808,4205409,48.7,27.7,33.9,76.7,86.9,6430,51,
082028,Cerda,396552,4195041,35.1,19.0,22.5,19.7,10.0,2160,351,
082029,Chiusa Sclafani,348571,4169973,49.7,18.0,28.4,11.3,50.5,1174,193,
082030,Ciminna,372959,4193037,23.1,13.7,21.2,0.8,4.9,1507,371,
082031,Cinisi,334790,4224378,34.5,22.1,27.9,38.5,45.4,5348,213,
082032,Collesano,404396,4198661,40.0,22.5,26.5,41.8,36.4,1671,248,
082033,Contessa Entellina,333074,4178692,51.0,20.8,24.3,30.5,20.3,676,311,
082034,Corleone,349807,4184228,36.4,21.6,28.3,37.2,49.7,4550,196,
082035,Ficarazzi,365357,4217092,3.2,20.1,25.5,27.4,26.9,5487,285,vicino
082036,Gangi,431606,4178100,73.7,23.5,29.8,47.9,60.8,2842,153,
082037,Geraci Siculo,429424,4188440,67.0,27.6,30.8,75.9,69.5,760,119,
082038,Giardinello,339663,4215590,28.5,20.8,26.0,30.5,32.3,951,264,
082039,Giuliana,343416,4169391,52.5,20.0,30.1,26.9,64.9,757,137,
082040,Godrano,360675,4191570,25.2,24.8,27.2,58.2,41.5,448,228,
082041,Gratteri,410209,4202814,43.9,16.3,19.8,4.6,2.1,379,382,
082042,Isnello,412515,4196213,48.4,22.1,24.4,38.5,21.3,615,307,
082043,Isola delle Femmine,346685,4228334,25.0,24.1,29.4,52.6,56.4,3110,170,
082044,Lascari,406461,4206279,39.4,24.5,31.9,55.6,76.7,1693,91,
082045,Lercara Friddi,378564,4178325,38.7,16.8,24.0,6.4,19.0,2880,316,
082046,Marineo,361670,4201045,16.0,18.3,24.9,13.8,22.1,2674,304,
